shop_id,name_display,name_normalized,category,x_norm,y_norm,floor,zone,source,confidence,near_graph_hint
shop_t2_001,Starbucks,Starbucks,cafe,27.2,23.8,L02,pier_nw,manual_seed,medium,t2_nw_fb
shop_t2_002,Costa Coffee,Costa Coffee,cafe,25.8,25.1,L02,pier_nw,manual_seed,medium,t2_retail_nw
shop_t2_003,Chaayos,Chaayos,cafe,31.5,29.2,L02,pier_nw,manual_seed,medium,t2_retail_nw
shop_t2_004,McDonald's,McDonalds,quick_service,29.0,27.0,L02,pier_nw,manual_seed,medium,t2_fb_nw
shop_t2_005,Subway,Subway,quick_service,32.8,31.0,L02,pier_nw,manual_seed,medium,t2_retail_nw
shop_t2_006,WHSmith,WHSmith,convenience,28.4,32.2,L02,pier_nw,manual_seed,low,t2_retail_nw
shop_t2_007,Crossword Bookstore,Crossword,retail,26.6,30.4,L02,pier_nw,manual_seed,low,t2_retail_nw
shop_t2_008,FabIndia,FabIndia,fashion,33.2,28.5,L02,pier_nw,manual_seed,low,t2_retail_nw
shop_t2_009,Reliance Digital,Reliance Digital,electronics,30.1,33.5,L02,pier_nw,manual_seed,low,t2_retail_nw
shop_t2_010,The Coffee Bean & Tea Leaf,Coffee Bean Tea Leaf,cafe,24.9,22.4,L02,pier_nw,manual_seed,medium,t2_nw_fb
shop_t2_011,DFS Spirits & Wine,DFS Duty Free,duty_free,71.2,26.5,L02,pier_ne,manual_seed,medium,t2_duty_ne
shop_t2_012,DFS Beauty,DFS Beauty,duty_free,73.5,29.8,L02,pier_ne,manual_seed,medium,t2_duty_ne
shop_t2_013,Jo Malone London,Jo Malone,duty_free,69.8,31.2,L02,pier_ne,manual_seed,low,t2_duty_ne
shop_t2_014,Michael Kors,Michael Kors,fashion,74.1,27.4,L02,pier_ne,manual_seed,low,t2_duty_ne
shop_t2_015,Hamleys,Hamleys,toys,72.6,32.9,L02,pier_ne,manual_seed,low,t2_ne_fb
shop_t2_016,KFC,KFC,quick_service,70.4,33.8,L02,pier_ne,manual_seed,medium,t2_ne_fb
shop_t2_017,Barista,Barista,cafe,75.2,30.1,L02,pier_ne,manual_seed,medium,t2_ne_fb
shop_t2_018,Pizza Hut Express,Pizza Hut,quick_service,68.5,34.5,L02,pier_ne,manual_seed,medium,t2_ne_fb
shop_t2_019,Swarovski,Swarovski,jewelry,76.0,28.0,L02,pier_ne,manual_seed,low,t2_duty_ne
shop_t2_020,MAC Cosmetics,MAC Cosmetics,duty_free,71.8,35.2,L02,pier_ne,manual_seed,low,t2_duty_ne
shop_t2_021,Haldiram's,Haldirams,quick_service,27.5,69.5,L02,pier_sw,manual_seed,medium,t2_fb_sw
shop_t2_022,Asia Kitchen by Mainland China,Asia Kitchen,fine_dining,29.8,71.2,L02,pier_sw,manual_seed,low,t2_fb_sw
shop_t2_023,Beer Cafe,Beer Cafe,bar,26.2,72.8,L02,pier_sw,manual_seed,medium,t2_fb_sw
shop_t2_024,Nike,Nike,sports_retail,31.4,68.0,L02,pier_sw,manual_seed,low,t2_retail_se
shop_t2_025,Adidas,Adidas,sports_retail,28.9,74.5,L02,pier_sw,manual_seed,low,t2_retail_se
shop_t2_026,Forest Essentials,Forest Essentials,beauty,32.1,73.1,L02,pier_sw,manual_seed,low,t2_retail_se
shop_t2_027,WHSmith Express,WHSmith Express,convenience,25.5,70.8,L02,pier_sw,manual_seed,low,t2_fb_sw
shop_t2_028,Krispy Kreme,Krispy Kreme,cafe,30.6,75.8,L02,pier_sw,manual_seed,medium,t2_fb_sw
shop_t2_029,Shoppers Stop,Shoppers Stop,department,33.0,70.2,L02,pier_sw,manual_seed,low,t2_retail_se
shop_t2_030,Accessorize London,Accessorize,fashion,73.8,69.5,L02,pier_se,manual_seed,low,t2_retail_se
shop_t2_031,Paradise Biryani,Paradise Biryani,quick_service,74.5,72.3,L02,pier_se,manual_seed,medium,t2_se_fb
shop_t2_032,Smoor Chocolates,Smoor,confectionery,71.0,71.0,L02,pier_se,manual_seed,medium,t2_se_fb
shop_t2_033,The Irish House,The Irish House,bar,76.5,70.5,L02,pier_se,manual_seed,medium,t2_se_fb
shop_t2_034,Miniso,Miniso,variety,78.2,73.8,L02,pier_se,manual_seed,low,t2_retail_se
shop_t2_035,Ray-Ban,Ray-Ban,eyewear,77.1,75.5,L02,pier_se,manual_seed,low,t2_retail_se
shop_t2_036,Central Retail Hub — Fashion,Central Fashion Kiosk,fashion,48.5,44.2,L02,central_mall,manual_seed,low,t2_hub_02_01
shop_t2_037,Central Retail Hub — Electronics,Central Electronics Kiosk,electronics,51.2,45.8,L02,central_mall,manual_seed,low,t2_hub_02_02
shop_t2_038,Central Retail Hub — Souvenir,Souvenir Shop,retail,49.8,51.0,L02,central_mall,manual_seed,low,t2_hub_02_02
shop_t2_039,Pharmacy Plus,Pharmacy Plus,pharmacy,47.0,49.5,L02,central_mall,manual_seed,medium,t2_hub_01_02
shop_t2_040,Currency Exchange Counter,Forex Counter,service,55.8,51.2,L02,central_mall,manual_seed,high,t2_forex
