id,entity_type,name,terminal,category,description,location_text,source_type,source_name,source_query
food_001,food,AJ 1881,T2,QSR,"Official CSMIA listing for AJ 1881 in Terminal 2. Category: QSR. Location: Level 4 , Post Security Hold Area.","Level 4 , Post Security Hold Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_002,food,All Good Deli,T2,QSR,"Official CSMIA listing for All Good Deli in Terminal 2. Category: QSR. Location: Level 3 ,Post Security Hold Area.","Level 3 ,Post Security Hold Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_003,food,Amreli,T2,QSR,"Official CSMIA listing for Amreli in Terminal 2. Category: QSR. Location: Level 3, Post Security Hold Area, Foodcourt.","Level 3, Post Security Hold Area, Foodcourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_004,food,Amul Ice Cream Lounge,T2,QSR,"Official CSMIA listing for Amul Ice Cream Lounge in Terminal 2. Category: QSR. Location: Level 4, Post Security Hold Area, Foodcourt.","Level 4, Post Security Hold Area, Foodcourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_005,food,Asia 7,T2,QSR,"Official CSMIA listing for Asia 7 in Terminal 2. Category: QSR. Location: Level 4, Post Security Hold Area, Foodcourt.","Level 4, Post Security Hold Area, Foodcourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_006,food,Baker Street,T2,QSR,"Official CSMIA listing for Baker Street in Terminal 2. Category: QSR. Location: P10,Level 4, Landside | P10, Level 4, Check in Area | Level 3 ,Post Security Hold Area | Level 4 , Post Security Hold Area.","P10,Level 4, Landside | P10, Level 4, Check in Area | Level 3 ,Post Security Hold Area | Level 4 , Post Security Hold Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_007,food,Balaji,T2,QSR,"Official CSMIA listing for Balaji in Terminal 2. Category: QSR. Location: Level 4 , Post Security Hold Area - Gate 68 | P10,Level 4, Landside | P6, Arrival Forecourt | Level 4 , Post Security Hold Area - Gate 65.","Level 4 , Post Security Hold Area - Gate 68 | P10,Level 4, Landside | P6, Arrival Forecourt | Level 4 , Post Security Hold Area - Gate 65",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_008,food,BAR FLY,T2,Quick Bites,"Official CSMIA listing for BAR FLY in Terminal 2. Category: Quick Bites. Location: Level 3 ,Post Security Hold Area - Gate 40.","Level 3 ,Post Security Hold Area - Gate 40",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_009,food,Baskin Robbins,T2,QSR,"Official CSMIA listing for Baskin Robbins in Terminal 2. Category: QSR. Location: P6, Arrival Forecourt | Level 3, Post Security Hold Area, Foodcourt.","P6, Arrival Forecourt | Level 3, Post Security Hold Area, Foodcourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_010,food,Boarding Bite,T2,Quick Bites,"Official CSMIA listing for Boarding Bite in Terminal 2. Category: Quick Bites. Location: Level 3 ,Post Security Hold Area - Gate 52.","Level 3 ,Post Security Hold Area - Gate 52",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_011,food,Budweiser Bar,T2,Bar & Restaurant,Official CSMIA listing for Budweiser Bar in Terminal 2. Category: Bar & Restaurant. Location: Arrival Hall.,Arrival Hall,official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_012,food,Burger King,T2,QSR,"Official CSMIA listing for Burger King in Terminal 2. Category: QSR. Location: Level 3 ,Post Security Hold Area | Level 4 , Post Security Hold Area | P10,Level 4, Landside.","Level 3 ,Post Security Hold Area | Level 4 , Post Security Hold Area | P10,Level 4, Landside",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_013,food,Café Ritazza,T2,Bar & Restaurant,"Official CSMIA listing for Café Ritazza in Terminal 2. Category: Bar & Restaurant. Location: Level 3 ,Post Security Hold Area.","Level 3 ,Post Security Hold Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_014,food,Chaipoint,T2,QSR,"Official CSMIA listing for Chaipoint in Terminal 2. Category: QSR. Location: P6, Arrival Forecourt.","P6, Arrival Forecourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_015,food,Chef café,T2,Bar & Restaurant,"Official CSMIA listing for Chef café in Terminal 2. Category: Bar & Restaurant. Location: Level 4 , Post Security Hold Area.","Level 4 , Post Security Hold Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_016,food,Clink Bar,T2,Bar & Restaurant,"Official CSMIA listing for Clink Bar in Terminal 2. Category: Bar & Restaurant. Location: Level 4, Post Security Hold Area, Foodcourt.","Level 4, Post Security Hold Area, Foodcourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_017,food,Costa Coffee,T2,Coffee Shop,"Official CSMIA listing for Costa Coffee in Terminal 2. Category: Coffee Shop. Location: Level 4 , Post Security Hold Area | Level 3 ,Post Security Hold Area | Level 3, Post Security Hold Area, Foodcourt | P6, Arrival Forecourt | P10,Level 4, Landside | Level 3 ,Post Security Hold Area - Gate 86 | Level 3 ,Post Security Hold Area - Gate 52.","Level 4 , Post Security Hold Area | Level 3 ,Post Security Hold Area | Level 3, Post Security Hold Area, Foodcourt | P6, Arrival Forecourt | P10,Level 4, Landside | Level 3 ,Post Security Hold Area - Gate 86 | Level 3 ,Post Security Hold Area - Gate 52",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_018,food,Dosa Plaza,T2,QSR,"Official CSMIA listing for Dosa Plaza in Terminal 2. Category: QSR. Location: Level 3 ,Post Security Hold Area.","Level 3 ,Post Security Hold Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_019,food,Falafel Express,T2,QSR,"Official CSMIA listing for Falafel Express in Terminal 2. Category: QSR. Location: Level 3, Post Security Hold Area, Foodcourt.","Level 3, Post Security Hold Area, Foodcourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_020,food,Flurys,T2,QSR,"Official CSMIA listing for Flurys in Terminal 2. Category: QSR. Location: Level 3, Post Security Hold Area, Foodcourt | Level 3 ,Post Security Hold Area - Gate 41 | Level 3 ,Post Security Hold Area - Gate 46.","Level 3, Post Security Hold Area, Foodcourt | Level 3 ,Post Security Hold Area - Gate 41 | Level 3 ,Post Security Hold Area - Gate 46",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_021,food,Foody's,T2,QSR,"Official CSMIA listing for Foody's in Terminal 2. Category: QSR. Location: Level 3 ,Post Security Hold Area - Gate 41 | Level 3 ,Post Security Hold Area | Level 3 ,Post Security Hold Area - Gate 44 | Level 3 ,Post Security Hold Area - Gate 45 | Level 3 ,Post Security Hold Area - Gate 46 | Level 4 , Post Security Hold Area | P10,Level 4, Landside | P6, Arrival Forecourt.","Level 3 ,Post Security Hold Area - Gate 41 | Level 3 ,Post Security Hold Area | Level 3 ,Post Security Hold Area - Gate 44 | Level 3 ,Post Security Hold Area - Gate 45 | Level 3 ,Post Security Hold Area - Gate 46 | Level 4 , Post Security Hold Area | P10,Level 4, Landside | P6, Arrival Forecourt",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
food_022,food,Fresco,T2,QSR,"Official CSMIA listing for Fresco in Terminal 2. Category: QSR. Location: P10, Level 4, Check in Area.","P10, Level 4, Check in Area",official,csmia_adani_airports,https://csmia-mumbai.adaniairports.com/en/shop-and-dine/dining
